functionName,Invocation,ResponseTime
knative-vidsplit,2,2.438448429107666
knative-modect,2,0.504249095916748
knative-facextract,2,0.206434965133667
knative-facerec,2,9.285033702850342
knative-vidsplit,3,0.447432279586792
knative-modect,3,0.4035477638244629
knative-facextract,3,0.24394607543945312
knative-facerec,3,0.35706496238708496
knative-vidsplit,4,0.2894093990325928
knative-modect,4,0.29139065742492676
knative-facextract,4,0.3606441020965576
knative-facerec,4,0.5421562194824219
knative-vidsplit,5,0.39014554023742676
knative-modect,5,0.2947542667388916
knative-facextract,5,0.3768608570098877
knative-facerec,5,0.5507528781890869
knative-vidsplit,6,0.348543643951416
knative-modect,6,0.3702375888824463
knative-facextract,6,0.29013752937316895
knative-facerec,6,0.4008948802947998
knative-vidsplit,7,0.47096776962280273
knative-modect,7,0.24437260627746582
knative-facextract,7,0.21045899391174316
knative-facerec,7,0.4862074851989746
knative-vidsplit,8,0.49376416206359863
knative-modect,8,0.4956989288330078
knative-facextract,8,0.32771730422973633
knative-facerec,8,0.5439474582672119
knative-vidsplit,9,0.31083035469055176
knative-modect,9,0.3475527763366699
knative-facextract,9,0.27971911430358887
knative-facerec,9,0.29198479652404785
knative-vidsplit,10,0.43811917304992676
knative-modect,10,0.28014087677001953
knative-facextract,10,0.24593520164489746
knative-facerec,10,0.35184717178344727
knative-vidsplit,11,0.34377384185791016
knative-modect,11,0.2820448875427246
knative-facextract,11,0.21519708633422852
knative-facerec,11,0.35750389099121094
knative-vidsplit,12,0.4473409652709961
knative-modect,12,0.3931291103363037
knative-facextract,12,0.27644896507263184
knative-facerec,12,0.3000960350036621
knative-vidsplit,13,0.38242006301879883
knative-modect,13,0.5404584407806396
knative-facextract,13,0.17345690727233887
knative-facerec,13,0.34066081047058105
knative-vidsplit,14,0.25176286697387695
knative-modect,14,0.2662839889526367
knative-facextract,14,0.23344874382019043
knative-facerec,14,0.4210085868835449
knative-vidsplit,15,0.5052387714385986
knative-modect,15,0.27525973320007324
knative-facextract,15,0.23334789276123047
knative-facerec,15,0.2624802589416504
knative-vidsplit,16,0.5272238254547119
knative-modect,16,0.40331554412841797
knative-facextract,16,0.23566985130310059
knative-facerec,16,0.28104615211486816
knative-vidsplit,17,0.37398457527160645
knative-modect,17,0.28517985343933105
knative-facextract,17,0.19014525413513184
knative-facerec,17,0.3220992088317871
knative-vidsplit,18,0.2660512924194336
knative-modect,18,0.2893106937408447
knative-facextract,18,0.20273208618164062
knative-facerec,18,0.31662774085998535
knative-vidsplit,19,0.3339846134185791
knative-modect,19,0.4908573627471924
knative-facextract,19,0.21039414405822754
knative-facerec,19,0.3663804531097412
knative-vidsplit,20,0.3545844554901123
knative-modect,20,0.31993794441223145
knative-facextract,20,0.3838827610015869
knative-facerec,20,0.2976958751678467
knative-vidsplit,21,0.35813450813293457
knative-modect,21,0.19061875343322754
knative-facextract,21,0.13337206840515137
knative-facerec,21,0.31554460525512695
knative-vidsplit,22,0.4026679992675781
knative-modect,22,0.3092472553253174
knative-facextract,22,0.1815047264099121
knative-facerec,22,0.3397088050842285
knative-vidsplit,23,0.40612244606018066
knative-modect,23,0.36721348762512207
knative-facextract,23,0.20370197296142578
knative-facerec,23,0.34117770195007324
knative-vidsplit,24,0.23209500312805176
knative-modect,24,0.288191556930542
knative-facextract,24,0.257826566696167
knative-facerec,24,0.28328728675842285
